pair_index,seed,heisenberg_best_loss,heisenberg_best_iteration,heisenberg_final_loss,heisenberg_success,warmstart_best_loss,warmstart_best_iteration,warmstart_final_loss,warmstart_success,mixed_stage_best_loss,mixed_stage_best_iteration
113,1154,38.45487320723069,120,38.734801785405296,False,0.002738120382697965,111,0.03335182504919669,True,3.756758060983054e-05,130
114,1155,1.4656912747512596,150,1.4656912747512596,False,0.010365482207651135,58,0.06855557088591199,False,7.280889285105378e-05,150
115,1156,24.612267243539044,118,24.945996597947754,False,0.02869621689367065,55,0.07588272424775998,False,6.020355891751377e-05,147
116,1157,33.19697940798077,131,33.421224996128245,False,0.004685544610125655,104,0.026527138722456125,True,0.0002319246986001698,150
117,1158,17.134365997765915,124,17.54984866583642,False,0.03340347916467192,53,0.06687312218563654,False,0.00023628954510183632,144
118,1159,22.145885459884962,150,22.145885459884962,False,0.002596286195564961,69,0.044836969257792916,True,0.00010131266994063168,146
119,1160,26.32948772871056,119,26.485507351474386,False,0.059123963453137744,58,0.08943459728652042,False,0.0006246620319097021,148
120,1161,22.671162724122034,149,23.359571201180934,False,18.548256406348337,150,18.548256406348337,False,2.821684463979167,150
121,1162,36.8717449711949,148,36.919597729958404,False,0.014518243609283278,137,0.05364369070118183,False,0.0003789763582834447,98
122,1163,23.708260740240256,145,24.054968117774408,False,0.00010838578175833534,138,0.004619134512757143,True,0.0005665906974241237,145
123,1164,38.26697684545151,147,38.30917844315516,False,0.0005019807265752759,80,0.01294718906902559,True,0.00022984112524602037,150
124,1165,35.62936037212274,133,35.738796756542854,False,20.929074784382927,150,20.929074784382927,False,2.804912497614769,150
125,1166,28.734117455788713,143,28.831414936337403,False,21.391859826910473,147,21.542342755069754,False,2.8424473311901677,150
126,1167,39.34953724749923,146,39.35775677123698,False,0.002854071607748632,68,0.08241294253434828,True,4.382902814318745e-05,147
127,1168,14.924018022202148,128,15.430740464995601,False,0.00614434057230276,56,0.0145646737657128,True,0.00042812868315159655,140
128,1169,25.53726116219716,145,25.648653918523642,False,0.011565552912936664,56,0.0767308479800447,False,0.00013144513361521335,128
129,1170,39.783803692825174,134,39.98589397287432,False,0.00805727013143023,92,0.02118188238666652,True,0.006226575476276753,146
130,1171,28.733768787005047,146,28.886048815510666,False,0.001126444563438238,76,0.030445679655730848,True,0.00020807251098666217,150
131,1172,31.806765010804252,129,31.971391979296666,False,0.00969298246065273,56,0.028194349758270315,True,0.00036780260220814866,150
132,1173,23.223768682654416,145,23.3061161372574,False,21.704007070916322,115,21.747076668132927,False,2.806994586217627,150
133,1174,24.808776884916035,132,25.054294257901244,False,0.010571262524887822,121,0.026854130032195604,False,0.00033904245286594685,148
134,1175,32.240914451497275,93,32.61197416349163,False,0.0022267095622720764,101,0.04274319580348422,True,0.0002382783961706495,150
135,1176,38.621108251262356,121,38.75529733369982,False,0.016987473543872318,66,0.4003728945284887,False,6.112357149647951e-05,150
136,1177,0.019710315106493747,150,0.019710315106493747,False,0.0009375453727240471,123,0.24277972046379806,True,9.632299781511847e-05,148
137,1178,20.727760299299387,130,21.020007398282885,False,0.015035498335686553,53,0.026592758212454146,False,0.00018199709512943294,139
138,1179,38.42028720582666,144,38.47214985195028,False,0.024150101755936723,48,0.14513885836242496,False,0.00012024989089789645,150
139,1180,21.732388591619262,106,21.974685456734726,False,0.0006794638977648685,139,0.0018126189552837377,True,8.608926634499076e-05,150
140,1181,30.20360678611661,143,30.44064391235579,False,0.0033392624218272506,67,0.0363476853527121,True,0.00029085742237510765,143
141,1182,0.0037614851966364803,135,0.004532414151389317,True,21.584817852044516,148,21.841187326495277,False,2.8151860672329994,150
142,1183,0.01554932020097623,133,0.12786788364188187,False,0.009670041920160995,72,0.027224016113846776,True,0.0008971413204314805,148
143,1184,38.09445038874349,87,38.250595539279935,False,0.0010885509875383137,65,0.010751734107980412,True,8.986096190935724e-05,131
144,1185,22.01148714212273,136,22.06832193289619,False,0.001283208086089409,92,0.0917685403176344,True,0.0004586955886397468,142
145,1186,25.010225961847024,139,25.02549329685889,False,0.00804402609299491,62,0.04981272735528029,True,0.01140348485017353,148
146,1187,20.380668710635724,109,21.00133563876814,False,0.0028541946932573487,124,0.026195292598898696,True,0.005853370996590403,150
147,1188,27.349372576403674,149,27.424329590712333,False,0.020173909183243747,59,0.07153068773834814,False,6.0079017755391035e-05,149
148,1189,37.67702341548744,83,37.80449559666992,False,17.398421346898665,129,17.66878476220149,False,2.7977828654666084,150
149,1190,28.478894975395992,119,28.848386549252318,False,0.03319593030139943,61,0.10081867015916157,False,0.0018095078675002796,150
