qubit,pauli,target_expectation,sewing_expectation,signed_diff,abs_diff,target_cone_size,sewing_cone_size
25,Z,0.254854590421863,0.25771300924776885,0.002858418825905873,0.002858418825905873,6,22
26,X,0.1678238353489119,0.09511478366452472,-0.07270905168438718,0.07270905168438718,6,16
26,Y,-0.34770155198154457,-0.3914476342153029,-0.04374608223375831,0.04374608223375831,6,16
26,Z,0.147978439559582,0.1126618899977867,-0.03531654956179531,0.03531654956179531,6,16
27,X,-0.43907130565890423,-0.4144508957424453,0.02462040991645892,0.02462040991645892,6,16
27,Y,-0.34284777657122945,-0.36720311784551457,-0.024355341274285125,0.024355341274285125,6,16
27,Z,0.043410728281340405,0.06034924700087185,0.016938518719531448,0.016938518719531448,6,16
28,X,-0.47361070627882895,-0.4584566071369131,0.015154099141915844,0.015154099141915844,6,18
28,Y,0.029945043685130138,0.07286532047187828,0.042920276786748146,0.042920276786748146,6,18
28,Z,-0.06015052230838652,-0.023273978267138618,0.036876544041247905,0.036876544041247905,6,18
29,X,0.29521185805957934,0.2875179906965432,-0.007693867363036122,0.007693867363036122,6,18
29,Y,-0.4734915764335458,-0.46949207710571245,0.0039994993278333335,0.0039994993278333335,6,18
29,Z,0.730068654549858,0.7345249341065534,0.004456279556695364,0.004456279556695364,6,18
30,X,0.5558213314438892,0.5783704890684898,0.022549157624600524,0.022549157624600524,4,18
30,Y,-0.6546773722373271,-0.6310729416837961,0.02360443055353101,0.02360443055353101,4,18
30,Z,0.3608726423299353,0.361641788237814,0.0007691459078786878,0.0007691459078786878,4,18
31,X,0.28560624024358977,0.2876082190891668,0.0020019788455770127,0.0020019788455770127,4,18
31,Y,0.908001368797152,0.9046804461355754,-0.0033209226615765752,0.0033209226615765752,4,18
31,Z,0.0439347234913694,0.05230057157248735,0.008365848081117955,0.008365848081117955,4,18
